#Nodes,Counter,Dissemination,Tournament,MCS,MPI Built-in
2,6.518744,4.475196,4.905149,4.949082,4.685095
3,4.926872,5.409409,5.604261,7.353705,6.670697
4,5.261989,7.392761,9.808137,7.022345,7.382515
5,6.851415,9.789026,12.039142,11.942918,10.175921
6,7.462414,11.294895,9.842258,16.395104,9.989236
7,7.405115,11.628335,10.112973,10.505432,11.704308
8,7.906884,10.878225,15.798692,15.282687,10.987388
9,7.985385,15.267783,23.10617,14.839947,13.639714
10,8.192129,14.959726,21.313426,17.22703,14.173025
11,9.064814,15.192051,20.920919,17.747614,14.499016
12,9.105123,14.435367,23.964283,17.997231,14.372345
13,9.373842,14.952016,22.920974,19.555073,14.844715
14,22.031966,24.54864,25.688138,24.511305,24.507533
15,24.489194,24.51215,24.570417,24.509362,24.529472
16,24.451074,24.441565,29.865535,24.515242,24.503166
17,24.437543,24.920474,28.526352,24.516175,31.685156
18,24.512039,24.618749,26.698024,24.515958,26.793631
